glottocode	genus	confidence
clel1238	Central Kainji	common ancestor (amoo1242, huns1239)
dama1268	Central Kainji	common ancestor (amoo1242, huns1239)
huns1239	Central Kainji	initial
gwam1244	Central Kainji	common ancestor (amoo1242, huns1239)
kagf1238	Central Kainji	common ancestor (amoo1242, huns1239)
cici1237	Central Kainji	common ancestor (amoo1242, huns1239)
baan1242	Central Kainji	common ancestor (amoo1242, huns1239)
tsis1238	Central Kainji	common ancestor (amoo1242, huns1239)
tsuv1239	Central Kainji	common ancestor (amoo1242, huns1239)
cish1238	Central Kainji	common ancestor (amoo1242, huns1239)
tsik1238	Central Kainji	common ancestor (amoo1242, huns1239)
hung1276	Central Kainji	common ancestor (amoo1242, huns1239)
cind1241	Central Kainji	common ancestor (amoo1242, huns1239)
rogo1238	Central Kainji	common ancestor (amoo1242, huns1239)
east2403	Central Kainji	common ancestor (amoo1242, huns1239)
sham1278	Central Kainji	common ancestor (amoo1242, huns1239)
bauc1238	Central Kainji	common ancestor (amoo1242, huns1239)
fung1245	Central Kainji	common ancestor (amoo1242, huns1239)
gurm1246	Central Kainji	common ancestor (amoo1242, huns1239)
pong1250	Central Kainji	common ancestor (amoo1242, huns1239)
resh1242		
laru1238		
cuba1236		
lopa1238		
okoe1238	Gade	sibling of gade1242
ukaa1243	Gade	sibling of gade1242
bais1242		
tita1240		
egaa1242	Ega	initial
adan1247	Ga-Dangme	sibling of gaaa1244
gaaa1244	Ga-Dangme	initial
ajab1235	Gbe	initial
east2390		
tofi1235		
cigb1235		
defi1235		
fonn1241	Gbe	initial
gunn1250	Gbe	initial
maxi1236		
weme1239	Tano	initial
wudu1238		
ayiz1245		
gbes1238		
kota1272		
saxw1241		
west2456		
xwel1235		
adan1248	Gbe	common ancestor (ewee1241, angl1262)
agun1238	Gbe	common ancestor (ewee1241, angl1262)
ewee1241	Gbe	initial
genn1243		
kpes1238		
waci1239		
avat1244	Ka-Togo	initial
nyan1302	Ka-Togo	common ancestor (avat1244, ikpo1238)
tafi1243	Ka-Togo	common ancestor (avat1244, ikpo1238)
akeb1238	Ka-Togo	common ancestor (avat1244, ikpo1238)
anim1239	Ka-Togo	common ancestor (avat1244, ikpo1238)
igoo1238	Ka-Togo	common ancestor (avat1244, ikpo1238)
ikpo1238	Ka-Togo	initial
tuwu1238	Ka-Togo	common ancestor (avat1244, ikpo1238)
adel1244		
anii1245		
boro1283		
lele1264	Na-Togo	initial
siwu1238	Na-Togo	sibling of lele1264
sekp1241		
sele1249		
logb1245		
abee1242	Agneby	common ancestor (abid1235, adio1239)
abid1235	Agneby	initial
adio1239	Agneby	initial
atti1239		
alla1248	Avikam-Alladian	initial
avik1243	Avikam-Alladian	initial
ebri1238		
mbat1247		
abro1238	Tano	common ancestor (akan1250, anuf1239)
akan1250	Tano	initial
wasa1244	Tano	common ancestor (akan1250, anuf1239)
anuf1239	Tano	initial
anyi1244	Tano	common ancestor (akan1250, anuf1239)
anyi1245	Tano	initial
baou1238	Tano	initial
sehw1238	Tano	common ancestor (akan1250, anuf1239)
ahan1243	Tano	common ancestor (akan1250, anuf1239)
jwir1241	Tano	common ancestor (akan1250, anuf1239)
nzim1238	Tano	common ancestor (akan1250, anuf1239)
domp1238	Tano	common ancestor (akan1250, nkon1245)
gonj1241	Tano	common ancestor (akan1250, nkon1245)
nkam1239	Tano	common ancestor (akan1250, nkon1245)
nkon1248	Tano	common ancestor (akan1250, nkon1245)
nter1234	Tano	common ancestor (akan1250, nkon1245)
food1238	Tano	common ancestor (akan1250, nkon1245)
giky1238	Tano	common ancestor (akan1250, nkon1245)
giny1241	Tano	common ancestor (akan1250, nkon1245)
nawu1242	Tano	common ancestor (akan1250, nkon1245)
chum1261	Tano	initial
tchu1241	Tano	common ancestor (akan1250, nkon1245)
kpla1238	Tano	common ancestor (akan1250, nkon1245)
krac1238	Tano	common ancestor (akan1250, nkon1245)
dwan1238	Tano	common ancestor (akan1250, nkon1245)
nchu1238	Tano	common ancestor (akan1250, nkon1245)
awut1241	Tano	common ancestor (akan1250, nkon1245)
cher1271	Tano	common ancestor (akan1250, nkon1245)
guaa1238	Tano	common ancestor (akan1250, nkon1245)
lart1238	Tano	common ancestor (akan1250, nkon1245)
krob1245	Tano	common ancestor (akan1250, nkon1245)
abur1243	Tano	common ancestor (akan1250, nkon1245)
beti1248	Tano	common ancestor (akan1250, nkon1245)
buaa1245	Bua	common ancestor (niel1243, gula1265)
kawa1291	Bua	common ancestor (niel1243, gula1265)
niel1243	Bua	initial
tuni1251	Bua	common ancestor (niel1243, gula1265)
noyy1238	Bua	common ancestor (niel1243, gula1265)
bong1282	Bua	common ancestor (niel1243, gula1265)
fani1244	Bua	common ancestor (niel1243, gula1265)
gula1265	Bua	initial
zang1249	Bua	common ancestor (niel1243, gula1265)
bolg1251	Bua	common ancestor (niel1243, gula1265)
koke1240	Bua	common ancestor (niel1243, gula1265)
dayy1236	Day	initial
besm1235	Kim	sibling of kimm1246
goun1238	Kim	sibling of kimm1246
kimm1246	Kim	initial
lala1261		
bena1260		
voro1240		
kaan1247		
mboi1246		
bura1271		
looo1238		
magh1238		
makn1235		
kyak1243		
leel1242		
mooo1239		
dzaa1238		
ming1254		
thaa1239		
kwaa1262		
kara1478	Mbumic	common ancestor (kuoo1238, mbum1254)
kare1338	Mbumic	common ancestor (kuoo1238, mbum1254)
pana1293	Mbumic	common ancestor (kuoo1238, mbum1254)
nzak1246	Mbumic	common ancestor (kuoo1238, mbum1254)
kuoo1238	Mbumic	initial
mbum1254	Mbumic	initial
dama1267	Mbumic	common ancestor (kuoo1238, mbum1254)
ndai1238	Mbumic	common ancestor (kuoo1238, mbum1254)
mamb1294	Mbumic	initial
mono1269	Mbumic	common ancestor (kuoo1238, mbum1254)
mund1325	Mbumic	initial
pamm1242	Mbumic	common ancestor (kuoo1238, mbum1254)
tupu1244	Mbumic	initial
tooo1238	Mbumic	common ancestor (kuoo1238, mbum1254)
kuga1239		
kumb1238		
nucl1240	Mumuye-Yandang	initial
pang1286	Mumuye-Yandang	sibling of nucl1240
rang1269	Mumuye-Yandang	sibling of nucl1240
bali1245		
kpas1242		
yott1234		
teme1252		
waka1275		
yend1241		
doya1240	Samba-Duru	initial
gimm1241	Samba-Duru	common ancestor (doya1240, diii1241)
gimn1238	Samba-Duru	common ancestor (doya1240, diii1241)
koma1266	Samba-Duru	common ancestor (doya1240, diii1241)
momj1237	Samba-Duru	common ancestor (doya1240, diii1241)
nort3260	Samba-Duru	common ancestor (doya1240, diii1241)
vere1252	Samba-Duru	common ancestor (doya1240, diii1241)
diii1241	Samba-Duru	initial
dugu1248	Samba-Duru	common ancestor (doya1240, diii1241)
duup1238	Samba-Duru	common ancestor (doya1240, diii1241)
kolb1240	Samba-Duru	common ancestor (doya1240, diii1241)
nyon1241	Samba-Duru	common ancestor (doya1240, diii1241)
womn1235	Samba-Duru	common ancestor (doya1240, diii1241)
samb1305	Samba-Duru	initial
long1387	Samba-Duru	common ancestor (doya1240, diii1241)
peer1241	Samba-Duru	common ancestor (doya1240, diii1241)
nimb1256	Samba-Duru	common ancestor (doya1240, diii1241)
duli1241		
golo1234	Ubangi	common ancestor (band1344, made1252)
band1348	Ubangi	common ancestor (band1344, made1252)
band1342	Ubangi	common ancestor (band1344, made1252)
band1343	Ubangi	common ancestor (band1344, made1252)
band1344	Ubangi	initial
band1345	Ubangi	common ancestor (band1344, made1252)
gobu1238	Ubangi	common ancestor (band1344, made1252)
kpag1238	Ubangi	common ancestor (band1344, made1252)
mids1243	Ubangi	common ancestor (band1344, made1252)
mono1270	Ubangi	common ancestor (band1344, made1252)
ngun1266	Ubangi	common ancestor (band1344, made1252)
togb1241	Ubangi	common ancestor (band1344, made1252)
mban1263	Ubangi	common ancestor (band1344, made1252)
ngbu1241	Ubangi	common ancestor (band1344, made1252)
lang1318	Ubangi	common ancestor (band1344, made1252)
sout2787	Ubangi	common ancestor (band1344, made1252)
west2458	Ubangi	common ancestor (band1344, made1252)
made1252	Ubangi	initial
dong1290	Ubangi	initial
mbaa1245	Ubangi	initial
ndun1249	Ubangi	initial
mong1345	Ubangi	common ancestor (band1344, made1252)
gbay1278	Ubangi	common ancestor (band1344, made1252)
dend1242	Ubangi	common ancestor (band1344, made1252)
mban1262	Ubangi	common ancestor (band1344, made1252)
nort2774	Ubangi	common ancestor (band1344, made1252)
rive1257	Ubangi	common ancestor (band1344, made1252)
sang1328	Ubangi	initial
sout2784	Ubangi	common ancestor (band1344, made1252)
yako1252	Ubangi	initial
bang1345	Ubangi	common ancestor (band1344, made1252)
mayo1261	Ubangi	initial
mund1326	Ubangi	initial
baka1272	Ubangi	initial
ganz1247	Ubangi	common ancestor (band1344, made1252)
gund1247	Ubangi	common ancestor (band1344, made1252)
lima1246	Ubangi	common ancestor (band1344, made1252)
gili1241	Ubangi	common ancestor (band1344, made1252)
ngba1284	Ubangi	initial
gban1258	Ubangi	common ancestor (band1344, made1252)
kpal1241	Ubangi	common ancestor (band1344, made1252)
yang1289	Ubangi	common ancestor (band1344, made1252)
monz1249	Ubangi	initial
fero1244	Ubangi	common ancestor (band1344, made1252)
mang1387	Ubangi	common ancestor (band1344, made1252)
indr1247	Ubangi	common ancestor (band1344, made1252)
togo1252	Ubangi	common ancestor (band1344, made1252)
baii1251	Ubangi	common ancestor (band1344, made1252)
bela1255	Ubangi	common ancestor (band1344, made1252)
ndog1248	Ubangi	initial
sere1264	Ubangi	common ancestor (band1344, made1252)
tagb1255	Ubangi	common ancestor (band1344, made1252)
bara1361	Ubangi	initial
ngal1296	Ubangi	common ancestor (band1344, made1252)
pamb1243	Ubangi	common ancestor (band1344, made1252)
geme1244	Ubangi	common ancestor (band1344, made1252)
nzak1247	Ubangi	initial
zand1248	Ubangi	initial
oblo1238		
gban1260	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1281)
manz1243	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1281)
alii1240	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1281)
ngba1287	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1281)
ngba1285	Gbaya-Manza-Ngbaka	initial
bofi1238	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1281)
gbay1281	Gbaya-Manza-Ngbaka	initial
boko1261	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1287)
gbay1286	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1287)
gbay1287	Gbaya-Manza-Ngbaka	initial
suma1264	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1287)
bang1347	Gbaya-Manza-Ngbaka	common ancestor (ngba1285, gbay1287)
sout2785	Gbaya-Manza-Ngbaka	initial
nort2775	Gbaya-Manza-Ngbaka	initial
bomu1247		
buam1238		
cwib1235		
laal1241		
buli1254	Oti-Volta	initial
konn1242	Oti-Volta	initial
gour1243	Oti-Volta	initial
bimo1239	Oti-Volta	initial
moba1244	Oti-Volta	common ancestor (buli1254, gour1243)
konk1269	Oti-Volta	initial
ngan1299	Oti-Volta	common ancestor (buli1254, gour1243)
akas1242	Oti-Volta	common ancestor (buli1254, gour1243)
ntch1242	Oti-Volta	initial
nawd1238	Oti-Volta	common ancestor (buli1254, gour1243)
yomm1242	Oti-Volta	common ancestor (buli1254, gour1243)
notr1240	Oti-Volta	common ancestor (buli1254, gour1243)
fare1241	Oti-Volta	initial
nabi1240	Oti-Volta	common ancestor (buli1254, gour1243)
kant1249	Oti-Volta	common ancestor (buli1254, gour1243)
moss1236	Oti-Volta	initial
sout2789	Oti-Volta	initial
daga1272	Oti-Volta	common ancestor (buli1254, gour1243)
wali1263	Oti-Volta	common ancestor (buli1254, gour1243)
malb1235	Oti-Volta	common ancestor (buli1254, gour1243)
sout2790	Oti-Volta	common ancestor (buli1254, gour1243)
nort2780	Oti-Volta	common ancestor (buli1254, gour1243)
safa1243	Oti-Volta	common ancestor (buli1254, gour1243)
hang1258	Oti-Volta	common ancestor (buli1254, gour1243)
kama1357	Oti-Volta	common ancestor (buli1254, gour1243)
kusa1250	Oti-Volta	common ancestor (buli1254, gour1243)
dagb1246	Oti-Volta	initial
mamp1244	Oti-Volta	initial
bial1238	Oti-Volta	common ancestor (buli1254, gour1243)
dita1238	Oti-Volta	common ancestor (buli1254, gour1243)
mbel1240	Oti-Volta	common ancestor (buli1254, gour1243)
nate1242	Oti-Volta	initial
waam1244	Oti-Volta	initial
koro1298	Koromfe	initial
baat1238	Baatonum	initial
dogo1294		
khee1238		
dogo1295		
khis1238		
kaan1246		
kabi1261	Grusi	initial
lama1275	Grusi	common ancestor (kabi1261, temm1241)
lukp1238	Grusi	common ancestor (kabi1261, temm1241)
bago1245	Grusi	common ancestor (kabi1261, temm1241)
chal1269	Grusi	common ancestor (kabi1261, temm1241)
delo1240	Grusi	common ancestor (kabi1261, temm1241)
temm1241	Grusi	initial
phui1238	Grusi	common ancestor (kabi1261, tamp1252)
chak1271	Grusi	common ancestor (kabi1261, tamp1252)
tamp1252	Grusi	initial
vagl1239	Grusi	initial
degg1238	Grusi	common ancestor (kabi1261, tamp1252)
siss1242	Grusi	common ancestor (kabi1261, tamp1252)
west2465	Grusi	common ancestor (kabi1261, tamp1252)
paas1238	Grusi	common ancestor (kabi1261, tamp1252)
tumu1242	Grusi	initial
siti1241	Grusi	common ancestor (kabi1261, tamp1252)
winy1241	Grusi	initial
kala1383	Grusi	common ancestor (kabi1261, lyel1241)
lyel1241	Grusi	initial
kase1253	Grusi	initial
nort2784	Grusi	initial
sout2795	Grusi	common ancestor (kabi1261, lyel1241)
pana1295	Grusi	common ancestor (kabi1261, lyel1241)
cerm1238	Kirma-Tyurama	initial
turk1306	Kirma-Tyurama	sibling of cerm1238
dyan1251	Lobiri-Jaane	sibling of lobi1245
lobi1245	Lobiri-Jaane	initial
long1389		
diji1241		
tsoo1241		
awak1250		
kamo1254		
bang1348		
dadi1249		
tula1252		
waja1259		
bond1246		
boun1243		
loma1258		
teen1242		
nati1243		
pale1262		
wara1292		
tief1242		
tief1244		
nort2787	Tusia	sibling of sout2797
sout2797	Tusia	initial
viem1243		
kamm1249		
ceba1235	Senufo	initial
east2398	Senufo	common ancestor (ceba1235, west2466)
west2466	Senufo	initial
mama1271	Senufo	common ancestor (ceba1235, west2466)
nane1238	Senufo	initial
sena1262	Senufo	common ancestor (ceba1235, west2466)
sici1249	Senufo	common ancestor (ceba1235, west2466)
supy1237	Senufo	initial
nafa1258	Senufo	initial
nyar1245	Senufo	common ancestor (ceba1235, west2466)
pala1342	Senufo	common ancestor (ceba1235, west2466)
djim1235	Senufo	initial
tagw1240	Senufo	common ancestor (ceba1235, west2466)
miyo1238		
nort2770		
sout2782		
apro1235	Kru	initial
mbre1244	Kru	sibling of apro1235
mpra1235	Kru	sibling of apro1235
jahh1242	Aslian	common ancestor (jeha1242, temi1246)
chew1245	Aslian	common ancestor (jeha1242, temi1246)
kens1248	Aslian	common ancestor (jeha1242, temi1246)
kint1239	Aslian	common ancestor (jeha1242, temi1246)
tong1308	Aslian	common ancestor (jeha1242, temi1246)
bate1262	Aslian	common ancestor (jeha1242, temi1246)
mint1239	Aslian	common ancestor (jeha1242, temi1246)
jede1239	Aslian	common ancestor (jeha1242, temi1246)
jeha1242	Aslian	initial
minr1238	Aslian	common ancestor (jeha1242, temi1246)
lano1248	Aslian	common ancestor (jeha1242, temi1246)
sabu1253	Aslian	common ancestor (jeha1242, temi1246)
semn1250	Aslian	common ancestor (jeha1242, temi1246)
temi1246	Aslian	initial
sema1266	Aslian	initial
besi1244	Aslian	initial
sema1265	Aslian	common ancestor (jeha1242, besi1244)
seme1247	Aslian	initial
temo1243	Aslian	common ancestor (jeha1242, besi1244)
cuaa1241	Bahnaric	initial
hree1244	Bahnaric	initial
reng1252	Bahnaric	initial
seda1262	Bahnaric	initial
mono1268	Bahnaric	common ancestor (cuaa1241, hree1244)
todr1244	Bahnaric	common ancestor (cuaa1241, hree1244)
hala1252	Bahnaric	initial
jehh1245	Bahnaric	initial
kayo1245	Bahnaric	common ancestor (cuaa1241, hree1244)
hala1253	Bahnaric	common ancestor (cuaa1241, hree1244)
katu1273	Bahnaric	common ancestor (cuaa1241, hree1244)
kaco1239	Bahnaric	common ancestor (cuaa1241, hree1244)
roma1331	Bahnaric	common ancestor (cuaa1241, hree1244)
taku1254	Bahnaric	common ancestor (cuaa1241, hree1244)
alak1253	Bahnaric	common ancestor (cuaa1241, hree1244)
lawi1235	Bahnaric	common ancestor (cuaa1241, hree1244)
lave1249	Bahnaric	initial
lave1248	Bahnaric	initial
souu1238	Bahnaric	common ancestor (cuaa1241, hree1244)
nyah1249	Bahnaric	common ancestor (cuaa1241, hree1244)
oyyy1238	Bahnaric	initial
sapu1248	Bahnaric	initial
koho1244	Bahnaric	initial
maaa1253	Bahnaric	common ancestor (cuaa1241, hree1244)
chra1242	Bahnaric	initial
east2333	Bahnaric	common ancestor (cuaa1241, hree1244)
cent1992	Bahnaric	common ancestor (cuaa1241, hree1244)
krao1238	Bahnaric	common ancestor (cuaa1241, hree1244)
sout2692	Bahnaric	common ancestor (cuaa1241, hree1244)
bude1236	Bahnaric	common ancestor (cuaa1241, hree1244)
bulo1242	Bahnaric	common ancestor (cuaa1241, hree1244)
melk1242	Bahnaric	common ancestor (cuaa1241, hree1244)
bahn1262	Bahnaric	initial
tamp1251	Bahnaric	common ancestor (cuaa1241, hree1244)
tali1257	Bahnaric	common ancestor (cuaa1241, hree1244)
trie1243	Bahnaric	common ancestor (cuaa1241, hree1244)
east1236	Katuic	common ancestor (nucl1297, paco1243)
west2398	Katuic	common ancestor (nucl1297, paco1243)
phuo1238	Katuic	common ancestor (nucl1297, paco1243)
paco1243	Katuic	initial
ngeq1245	Katuic	common ancestor (nucl1297, paco1243)
lowe1395	Katuic	common ancestor (nucl1297, paco1243)
ongg1239	Katuic	common ancestor (nucl1297, paco1243)
uppe1406	Katuic	common ancestor (nucl1297, paco1243)
east2332	Katuic	initial
nort3270	Katuic	common ancestor (nucl1297, paco1243)
sout3251	Katuic	common ancestor (nucl1297, paco1243)
sooo1254	Katuic	common ancestor (nucl1297, paco1243)
west2397	Katuic	initial
kuyy1240	Katuic	common ancestor (nucl1297, paco1243)
nyeu1238	Katuic	common ancestor (nucl1297, paco1243)
khas1269	Khasian	initial
pnar1238	Khasian	sibling of khas1269
lyng1241		
mega1243		
warj1242		
dana1252	Palaungic	common ancestor (para1301, shwe1236)
east2776	Palaungic	common ancestor (para1301, shwe1236)
huuu1240	Palaungic	common ancestor (para1301, shwe1236)
manm1238	Palaungic	common ancestor (para1301, shwe1236)
mokk1243	Palaungic	common ancestor (para1301, shwe1236)
tail1246	Palaungic	common ancestor (para1301, shwe1236)
uuuu1243	Palaungic	common ancestor (para1301, shwe1236)
bitt1240	Palaungic	common ancestor (para1301, shwe1236)
khan1274	Palaungic	common ancestor (para1301, shwe1236)
lame1256	Palaungic	common ancestor (para1301, shwe1236)
blan1242	Palaungic	common ancestor (para1301, shwe1236)
samt1238	Palaungic	common ancestor (para1301, shwe1236)
east2330	Palaungic	common ancestor (para1301, shwe1236)
west2396	Palaungic	common ancestor (para1301, shwe1236)
awac1238	Palaungic	common ancestor (para1301, shwe1236)
nucl1290	Palaungic	common ancestor (para1301, shwe1236)
para1301	Palaungic	initial
xiyu1235	Palaungic	common ancestor (para1301, shwe1236)
ruch1235	Palaungic	common ancestor (para1301, shwe1236)
shwe1236	Palaungic	initial
rian1261	Palaungic	common ancestor (para1301, shwe1236)
yinc1238	Palaungic	common ancestor (para1301, shwe1236)
ruma1248	Palaungic	common ancestor (para1301, shwe1236)
cent1989	Khmer	initial
nort2684	Khmer	sibling of cent1989
oldk1249	Khmer	sibling of cent1989
khmu1256	Khmuic	initial
khue1238	Khmuic	common ancestor (khmu1256, puoc1238)
oduu1239	Khmuic	common ancestor (khmu1256, puoc1238)
phon1246	Khmuic	common ancestor (khmu1256, puoc1238)
thee1239	Khmuic	common ancestor (khmu1256, puoc1238)
puoc1238	Khmuic	initial
mlab1235	Khmuic	initial
mall1246	Khmuic	common ancestor (khmu1256, puoc1238)
phai1238	Khmuic	common ancestor (khmu1256, puoc1238)
boly1239		
buga1247		
mang1378		
monn1252	Monic	initial
nyah1250	Monic	initial
oldm1242	Monic	common ancestor (monn1252, nyah1250)
gata1239	Munda	common ancestor (bodo1267, juan1238)
bodo1267	Munda	initial
bond1245	Munda	initial
juan1238	Munda	initial
khar1287	Munda	initial
asur1254	Munda	common ancestor (bodo1267, juan1238)
bijo1238	Munda	common ancestor (bodo1267, juan1238)
birh1242	Munda	common ancestor (bodo1267, juan1238)
hooo1248	Munda	initial
mund1320	Munda	initial
koda1236	Munda	common ancestor (bodo1267, juan1238)
koda1254	Munda	common ancestor (bodo1267, juan1238)
korw1242	Munda	common ancestor (bodo1267, juan1238)
majh1236	Munda	common ancestor (bodo1267, juan1238)
turi1246	Munda	common ancestor (bodo1267, juan1238)
kolb1241	Munda	common ancestor (bodo1267, juan1238)
maha1291	Munda	common ancestor (bodo1267, juan1238)
sant1410	Munda	initial
kork1243	Munda	initial
pare1266	Munda	common ancestor (bodo1267, juan1238)
jura1242	Munda	common ancestor (bodo1267, juan1238)
sora1254	Munda	initial
carn1240	Nicobarese	initial
cent1990	Nicobarese	initial
sout2689	Nicobarese	common ancestor (carn1240, cent1990)
chau1258	Nicobarese	common ancestor (carn1240, cent1990)
tere1272	Nicobarese	common ancestor (carn1240, cent1990)
pear1247		
cent2314	Pearic	sibling of chon1284
chon1284	Pearic	initial
somr1240	Pearic	sibling of chon1284
saoc1239		
suoy1242		
aheu1239		
arem1240		
chut1247		
male1282		
hung1275		
thoo1240		
muon1246	Vietic	initial
nguo1239	Vietic	common ancestor (muon1246, viet1252)
viet1252	Vietic	initial
atay1247	Atayalic	initial
taro1264	Atayalic	initial
bunu1267		
amis1246	East Formosan	initial
saki1247	East Formosan	common ancestor (amis1246, sira1267)
basa1287	East Formosan	common ancestor (amis1246, sira1267)
kava1241	East Formosan	common ancestor (amis1246, sira1267)
keta1243	East Formosan	common ancestor (amis1246, sira1267)
sira1267	East Formosan	initial
batu1258	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
mari1430	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
dobe1238	Central Malayo-Polynesian	initial
koba1240	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
lola1248	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
lora1237	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
mano1275	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
east2465	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
bara1367	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
kare1339	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
kola1285	Central Malayo-Polynesian	initial
komp1237	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
ujir1237	Central Malayo-Polynesian	common ancestor (dobe1238, kola1285)
west2538	Central Malayo-Polynesian	initial
atii1237		
basa1286		
ampa1239		
tunj1244		
dusu1269		
dusu1271		
lawa1257		
tawo1243		
kohi1250		
otda1235		
sian1254		
inab1237	Sama-Bajaw	common ancestor (indo1317, yaka1277)
indo1317	Sama-Bajaw	initial
mapu1244	Sama-Bajaw	common ancestor (indo1317, west2560)
west2560	Sama-Bajaw	initial
bala1311	Sama-Bajaw	initial
cent2092	Sama-Bajaw	common ancestor (indo1317, bala1311)
sout2918	Sama-Bajaw	initial
pang1291	Sama-Bajaw	common ancestor (indo1317, bala1311)
yaka1277	Sama-Bajaw	initial
dusu1267	Barito	common ancestor (maan1238, plat1254)
maan1238	Barito	initial
paku1239	Barito	common ancestor (maan1238, plat1254)
bush1250	Barito	common ancestor (maan1238, plat1254)
plat1254	Barito	initial
sout2920	Barito	common ancestor (maan1238, plat1254)
anta1255	Barito	common ancestor (maan1238, plat1254)
nort2890	Barito	common ancestor (maan1238, plat1254)
tsim1257	Barito	common ancestor (maan1238, plat1254)
bara1369	Barito	common ancestor (maan1238, plat1254)
tano1246	Barito	common ancestor (maan1238, plat1254)
masi1268	Barito	common ancestor (maan1238, plat1254)
saka1291	Barito	common ancestor (maan1238, plat1254)
maha1309	Barito	common ancestor (maan1238, plat1254)
tesa1236	Barito	common ancestor (maan1238, plat1254)
tand1256	Barito	common ancestor (maan1238, plat1254)
baku1263	Barito	sibling of ngaj1237
ngaj1237	Barito	initial
ibat1238	Batanic	initial
ivat1242	Batanic	common ancestor (ibat1238, yami1254)
yami1254	Batanic	initial
gian1241	Bilic	common ancestor (tbol1240, tiru1241)
koro1310	Bilic	common ancestor (tbol1240, tiru1241)
sara1326	Bilic	common ancestor (tbol1240, tiru1241)
tbol1240	Bilic	initial
tiru1241	Bilic	initial
bima1247	Central Malayo-Polynesian	initial
keda1252	Central Malayo-Polynesian	initial
alor1247	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lama1277	Central Malayo-Polynesian	initial
lewo1244	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
puka1244	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lama1278	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
adon1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
ilea1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
levu1239	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
sout2896	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
west2541	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lama1279	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lewo1243	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
sika1262	Central Malayo-Polynesian	initial
kepo1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
komo1261	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
mang1405	Central Malayo-Polynesian	initial
riun1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
remb1250	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
rajo1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
waer1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
ende1246	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lioo1240	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
keoo1238	Central Malayo-Polynesian	initial
nage1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
namu1249	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
ngad1261	Central Malayo-Polynesian	initial
rong1269	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
palu1252	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
dhao1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
sabu1255	Central Malayo-Polynesian	initial
anak1240	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
bali1287	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
wanu1241	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
kamb1299	Central Malayo-Polynesian	initial
mamb1305	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
kodi1247	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
ngga1239	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
lamb1273	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
weje1237	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
sang1334	Central Malayo-Polynesian	common ancestor (bima1247, keda1252)
bala1315	Celebic	initial
bang1368	Celebic	initial
kada1286	Celebic	common ancestor (bala1315, pado1242)
tali1262	Celebic	common ancestor (bala1315, pado1242)
andi1257	Celebic	common ancestor (bala1315, pado1242)
